"","PatientRace","PatientGender","PatientLanguage","PrimaryDiagnosisDescription","Frequency"
"304","African American","Female","English","Hartnups disease
6C41F419-0695-4751-AC32-BF1CE34A0305	4	G50	Disorders of trigeminal nerve
9830FDCD-C54B-4750-8689-0A4D6493629B	1	M06.2	Rheumatoid bursitis
9830FDCD-C54B-4750-8689-0A4D6493629B	2	F34.0	Cyclothymic disorder
9830FDCD-C54B-4750-8689-0A4D6493629B	3	O99.42	Diseases of the circulatory system complicating childbirth
9830FDCD-C54B-4750-8689-0A4D6493629B	4	D36.13	Benign neoplasm of peripheral nerves and autonomic nervous system of lower limb, including hip
9830FDCD-C54B-4750-8689-0A4D6493629B	5	M63.82	Disorders of muscle in diseases classified elsewhere, upper arm
9830FDCD-C54B-4750-8689-0A4D6493629B	6	J84.03	Idiopathic pulmonary hemosiderosis
1F87987C-349D-4826-B96B-4296946DE0C0	1	C62	Malignant neoplasm of testis
1F87987C-349D-4826-B96B-4296946DE0C0	2	G09	Sequelae of inflammatory diseases of central nervous system
1F87987C-349D-4826-B96B-4296946DE0C0	3	P26	Pulmonary hemorrhage originating in the perinatal period
594B999C-C623-47FD-99D1-4AE944120398	1	M63.851	Disorders of muscle in diseases classified elsewhere, right thigh
594B999C-C623-47FD-99D1-4AE944120398	2	B97.35	Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere
594B999C-C623-47FD-99D1-4AE944120398	3	Z11.0	Encounter for screening for intestinal infectious diseases
594B999C-C623-47FD-99D1-4AE944120398	4	I78	Diseases of capillaries
594B999C-C623-47FD-99D1-4AE944120398	5	H16.442	Deep vascularization of cornea, left eye
594B999C-C623-47FD-99D1-4AE944120398	6	T46.0X3	Poisoning by cardiac-stimulant glycosides and drugs of similar action, assault
594B999C-C623-47FD-99D1-4AE944120398	7	M06.072	Rheumatoid arthritis without rheumatoid factor, left ankle and foot
D4C58D6A-D31D-4587-8DF3-93490F449DE6	1	D39.11	Neoplasm of uncertain behavior of right ovary
D4C58D6A-D31D-4587-8DF3-93490F449DE6	2	M24.27	Disorder of ligament, ankle and foot
A52BF56F-A06A-4863-865C-254C9955F133	1	I25.730	Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with unstable angina pectoris
A52BF56F-A06A-4863-865C-254C9955F133	2	E70.2	Disorders of tyrosine metabolism
CA50D0E6-557B-4A55-A461-5EDEC29B1147	1	E10	Type 1 diabetes mellitus
CA50D0E6-557B-4A55-A461-5EDEC29B1147	2	B40.1	Chronic pulmonary blastomycosis
CA50D0E6-557B-4A55-A461-5EDEC29B1147	3	D13.4	Benign neoplasm of liver
CA50D0E6-557B-4A55-A461-5EDEC29B1147	4	G05.4	Myelitis in diseases classified elsewhere
1018D6B8-A6EA-44E1-AE7B-E8E6729B3CA0	1	D12.5	Benign neoplasm of sigmoid colon
1018D6B8-A6EA-44E1-AE7B-E8E6729B3CA0	2	D31.11	Benign neoplasm of right cornea
1018D6B8-A6EA-44E1-AE7B-E8E6729B3CA0	3	J98.6	Disorders of diaphragm
1018D6B8-A6EA-44E1-AE7B-E8E6729B3CA0	4	O26.833	Pregnancy related renal disease, third trimester
E3DBD4B8-7895-4055-8887-B03D841740E3	1	Z12.11	Encounter for screening for malignant neoplasm of colon
E3DBD4B8-7895-4055-8887-B03D841740E3	2	S35.411	Laceration of right renal artery
E3DBD4B8-7895-4055-8887-B03D841740E3	3	E77	Disorders of glycoprotein metabolism
E3DBD4B8-7895-4055-8887-B03D841740E3	4	P71	Transitory neonatal disorders of calcium and magnesium metabolism
46301205-D486-4D25-BD4E-99D283E6CCEA	1	H18.821	Corneal disorder due to contact lens, right eye
46301205-D486-4D25-BD4E-99D283E6CCEA	2	C10.4	Malignant neoplasm of branchial cleft
46301205-D486-4D25-BD4E-99D283E6CCEA	3	E09.9	Drug or chemical induced diabetes mellitus without complications
46301205-D486-4D25-BD4E-99D283E6CCEA	4	E70.2	Disorders of tyrosine metabolism
46301205-D486-4D25-BD4E-99D283E6CCEA	5	F18.180	Inhalant abuse with inhalant-induced anxiety disorder
E8AEE104-9167-4163-9DCE-C8384E16CB9A	1	C91.60	Prolymphocytic leukemia of T-cell type not having achieved remission
E8AEE104-9167-4163-9DCE-C8384E16CB9A	2	I27.82	Chronic pulmonary embolism
E8AEE104-9167-4163-9DCE-C8384E16CB9A	3	I37.1	Nonrheumatic pulmonary valve insufficiency
E8AEE104-9167-4163-9DCE-C8384E16CB9A	4	F31.61	Bipolar disorder, current episode mixed, mild
C5F1D90B-3DBA-48E1-BE27-4E39E90FCD43	1	Z12.73	Encounter for screening for malignant neoplasm of ovary
C5F1D90B-3DBA-48E1-BE27-4E39E90FCD43	2	J38	Diseases of vocal cords and larynx, not elsewhere classified
C5F1D90B-3DBA-48E1-BE27-4E39E90FCD43	3	F68.11	Factitious disorder with predominantly psychological signs and symptoms
14DB2E49-0A44-4D33-B032-714BFF432AB9	1	M05.741	Rheumatoid arthritis with rheumatoid factor of right hand without organ or systems involvement
14DB2E49-0A44-4D33-B032-714BFF432AB9	2	Z04.6	Encounter for general psychiatric examination, requested by authority
14DB2E49-0A44-4D33-B032-714BFF432AB9	3	M90.631	Osteitis deformans in neoplastic diseases, right forearm
2D6AA175-20D5-4B4D-A60F-442E8ADE9FE3	1	J38	Diseases of vocal cords and larynx, not elsewhere classified
2D6AA175-20D5-4B4D-A60F-442E8ADE9FE3	2	Z13.811	Encounter for screening for lower gastrointestinal disorder
2D6AA175-20D5-4B4D-A60F-442E8ADE9FE3	3	E11.42	Type 2 diabetes mellitus with diabetic polyneuropathy
2D6AA175-20D5-4B4D-A60F-442E8ADE9FE3	4	R94.3	Abnormal results of cardiovascular function studies
2D6AA175-20D5-4B4D-A60F-442E8ADE9FE3	5	M10.36	Gout due to renal impairment, knee
314362D5-5CE8-41FB-AB43-8E7B9CFC6D06	1	I06	Rheumatic aortic valve diseases
314362D5-5CE8-41FB-AB43-8E7B9CFC6D06	2	A69.2	Lyme disease
314362D5-5CE8-41FB-AB43-8E7B9CFC6D06	3	C71.6	Malignant neoplasm of cerebellum
314362D5-5CE8-41FB-AB43-8E7B9CFC6D06	4	M05.72	Rheumatoid arthritis with rheumatoid factor of elbow without organ or systems involvement
FBA7BE27-1930-4A69-9758-28B73E8ECF3A	1	D12.7	Benign neoplasm of rectosigmoid junction
FBA7BE27-1930-4A69-9758-28B73E8ECF3A	2	F45.4	Pain disorders related to psychological factors
FBA7BE27-1930-4A69-9758-28B73E8ECF3A	3	C05.1	Malignant neoplasm of soft palate
81B4ADC8-1688-4EE6-9639-BB02535F8B38	1	I25.4	Coronary artery aneurysm and dissection
81B4ADC8-1688-4EE6-9639-BB02535F8B38	2	Z49.0	Preparatory care for renal dialysis
81B4ADC8-1688-4EE6-9639-BB02535F8B38	3	D16.6	Benign neoplasm of vertebral column
81B4ADC8-1688-4EE6-9639-BB02535F8B38	4	G73.7	Myopathy in diseases classified elsewhere
354081F6-A99F-475E-9C68-771467A0B3F9	1	T86.290	Cardiac allograft vasculopathy
354081F6-A99F-475E-9C68-771467A0B3F9	2	F31.71	Bipolar disorder, in partial remission, most recent episode hypomanic
354081F6-A99F-475E-9C68-771467A0B3F9	3	C49.0	Malignant neoplasm of connective and soft tissue of head, face and neck
354081F6-A99F-475E-9C68-771467A0B3F9	4	G31.01	Picks disease",413
"305","African American","Female","English","Hb-SS disease with splenic sequestration",219
"306","African American","Female","English","Hemophilus influenzae [H. influenzae] as the cause of diseases classified elsewhere",241
"307","African American","Female","English","Hemorrhagic fever with renal syndrome",387
"308","African American","Female","English","Hepatorenal syndrome",412
"309","African American","Female","English","Herpesviral ocular disease",431
"310","African American","Female","English","Hookworm diseases",481
"311","African American","Female","English","Human immunodeficiency virus [HIV] disease complicating childbirth",408
"312","African American","Female","English","Human immunodeficiency virus [HIV] disease complicating pregnancy",101
"313","African American","Female","English","Human immunodeficiency virus [HIV] disease complicating pregnancy, first trimester",290
"314","African American","Female","English","Human immunodeficiency virus [HIV] disease complicating pregnancy, second trimester",239
"315","African American","Female","English","Human immunodeficiency virus [HIV] disease complicating pregnancy, third trimester",252
"316","African American","Female","English","Human metapneumovirus as the cause of diseases classified elsewhere",343
"317","African American","Female","English","Human T-cell lymphotrophic virus, type I [HTLV-I] as the cause of diseases classified elsewhere",359
"318","African American","Female","English","Huntingtons disease
8E830390-4109-4FB5-8C69-8D64ECA1B256	2	D44.4	Neoplasm of uncertain behavior of craniopharyngeal duct
8E830390-4109-4FB5-8C69-8D64ECA1B256	3	M06.252	Rheumatoid bursitis, left hip
8E830390-4109-4FB5-8C69-8D64ECA1B256	4	M05.45	Rheumatoid myopathy with rheumatoid arthritis of hip
220FFD1E-7271-418B-89DC-37E9F3E87113	1	D48.5	Neoplasm of uncertain behavior of skin
220FFD1E-7271-418B-89DC-37E9F3E87113	2	D43.3	Neoplasm of uncertain behavior of cranial nerves
950572E2-C66C-4BA1-B7A6-63638BDE2A4B	1	H02.87	Vascular anomalies of eyelid
950572E2-C66C-4BA1-B7A6-63638BDE2A4B	2	F60.1	Schizoid personality disorder
950572E2-C66C-4BA1-B7A6-63638BDE2A4B	3	M06.041	Rheumatoid arthritis without rheumatoid factor, right hand
950572E2-C66C-4BA1-B7A6-63638BDE2A4B	4	C18.2	Malignant neoplasm of ascending colon
950572E2-C66C-4BA1-B7A6-63638BDE2A4B	5	F18.151	Inhalant abuse with inhalant-induced psychotic disorder with hallucinations
950572E2-C66C-4BA1-B7A6-63638BDE2A4B	6	N18	Chronic kidney disease (CKD)
9761F7DD-037A-458D-9DEB-44E5B8E44A90	1	E83	Disorders of mineral metabolism
9761F7DD-037A-458D-9DEB-44E5B8E44A90	2	H82.3	Vertiginous syndromes in diseases classified elsewhere, bilateral
9761F7DD-037A-458D-9DEB-44E5B8E44A90	3	D41.4	Neoplasm of uncertain behavior of bladder
D60562B0-6654-4BDC-93C6-15730B6FB235	1	E71.31	Disorders of fatty-acid oxidation
D60562B0-6654-4BDC-93C6-15730B6FB235	2	D35.0	Benign neoplasm of adrenal gland
D60562B0-6654-4BDC-93C6-15730B6FB235	3	H47.622	Disorders of visual cortex in (due to) inflammatory disorders, left side of brain
D60562B0-6654-4BDC-93C6-15730B6FB235	4	D10	Benign neoplasm of mouth and pharynx
681533D5-E0C2-45E6-A78A-12A061A33701	1	B73.1	Onchocerciasis without eye disease
681533D5-E0C2-45E6-A78A-12A061A33701	2	M05.572	Rheumatoid polyneuropathy with rheumatoid arthritis of left ankle and foot
4A809A9E-D3E9-4403-B000-99A20BD0F7ED	1	E10.359	Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema
4A809A9E-D3E9-4403-B000-99A20BD0F7ED	2	E08.42	Diabetes mellitus due to underlying condition with diabetic polyneuropathy
4A809A9E-D3E9-4403-B000-99A20BD0F7ED	3	K50.114	Crohns disease of large intestine with abscess",86
"319","African American","Female","English","Hydroxyapatite deposition disease, hand",177
"320","African American","Female","English","Hydroxyapatite deposition disease, left knee",101
"321","African American","Female","English","Hydroxyapatite deposition disease, left shoulder",358
"322","African American","Female","English","Hydroxyapatite deposition disease, multiple sites",277
"323","African American","Female","English","Hydroxyapatite deposition disease, right ankle and foot",200
"324","African American","Female","English","Hydroxyapatite deposition disease, right wrist",140
"325","African American","Female","English","Hypertensive chronic kidney disease",465
"326","African American","Female","English","Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease",188
"327","African American","Female","English","Hypertensive heart and chronic kidney disease",464
"328","African American","Female","English","Hypertensive heart and chronic kidney disease without heart failure",741
"329","African American","Female","English","Hypertensive heart disease",667
"330","African American","Female","English","Hypertrophic disorders of skin",335
"331","African American","Female","English","Hypoactive sexual desire disorder",293
"332","African American","Female","English","Immunization not carried out due to patient having had the disease",218
"333","African American","Female","English","Influenza due to identified novel influenza A virus with pneumonia",507
"334","African American","Female","English","Influenza due to unidentified influenza virus",619
"335","African American","Female","English","Influenza due to unidentified influenza virus with encephalopathy",480
"336","African American","Female","English","Influenza due to unidentified influenza virus with otitis media",471
"337","African American","Female","English","Inhalant abuse with inhalant-induced dementia",485
"338","African American","Female","English","Inhalant abuse with inhalant-induced mood disorder",305
"339","African American","Female","English","Injury of renal blood vessels",287
"340","African American","Female","English","Intermittent explosive disorder",442
"341","African American","Female","English","Intervertebral disc disorders with myelopathy, lumbar region",368
"342","African American","Female","English","Intervertebral disc disorders with myelopathy, thoracolumbar region",213
"343","African American","Female","English","Intervertebral disc disorders with radiculopathy, lumbosacral region",414
"344","African American","Female","English","Intervertebral disc disorders with radiculopathy, thoracolumbar region",508
"345","African American","Female","English","Intracardiac thrombosis, not elsewhere classified",234
"346","African American","Female","English","Intraoperative and postprocedural complications and disorders of digestive system, not elsewhere classified",684
"347","African American","Female","English","Intraoperative and postprocedural complications and disorders of eye and adnexa, not elsewhere classified",407
"348","African American","Female","English","Intraoperative and postprocedural complications and disorders of genitourinary system, not elsewhere classified",453
"349","African American","Female","English","Intraoperative and postprocedural complications and disorders of musculoskeletal system, not elsewhere classified",825
"350","African American","Female","English","Intraoperative cerebrovascular infarction",232
"351","African American","Female","English","Kaschin-Beck disease, ankle and foot",371
"352","African American","Female","English","Kaschin-Beck disease, elbow",321
"353","African American","Female","English","Kaschin-Beck disease, hand",158
"354","African American","Female","English","Kaschin-Beck disease, left shoulder",329
"355","African American","Female","English","Kaschin-Beck disease, right hand",278
"356","African American","Female","English","Kaschin-Beck disease, right wrist",509
"357","African American","Female","English","Keratoderma in diseases classified elsewhere",549
"358","African American","Female","English","Kienböcks disease of adults
CAA4923D-F5AD-4D18-B61F-8A2578792EC0	3	C34.0	Malignant neoplasm of main bronchus
CAA4923D-F5AD-4D18-B61F-8A2578792EC0	4	F16.151	Hallucinogen abuse with hallucinogen-induced psychotic disorder with hallucinations
CAA4923D-F5AD-4D18-B61F-8A2578792EC0	5	C71.6	Malignant neoplasm of cerebellum
783B66B1-6F16-4D19-94BE-D7A46D70BBDE	1	E09.41	Drug or chemical induced diabetes mellitus with neurological complications with diabetic mononeuropathy
783B66B1-6F16-4D19-94BE-D7A46D70BBDE	2	T82.4	Mechanical complication of vascular dialysis catheter
783B66B1-6F16-4D19-94BE-D7A46D70BBDE	3	M1A.321	Chronic gout due to renal impairment, right elbow
D00775BB-31EB-4F1F-A2E1-C9944946FC08	1	F31.75	Bipolar disorder, in partial remission, most recent episode depressed
D00775BB-31EB-4F1F-A2E1-C9944946FC08	2	C92.A0	Acute myeloid leukemia with multilineage dysplasia, not having achieved remission
D00775BB-31EB-4F1F-A2E1-C9944946FC08	3	I73.1	Thromboangiitis obliterans [Buergers disease]",67
"359","African American","Female","English","Kienböcks disease of adults
DA74F5B5-1957-4131-8E12-4099A85692B4	3	N49.0	Inflammatory disorders of seminal vesicle
DA74F5B5-1957-4131-8E12-4099A85692B4	4	D43.3	Neoplasm of uncertain behavior of cranial nerves
109AB0D0-10C0-44A3-BB38-F4ABFF3B940D	1	M1A.33	Chronic gout due to renal impairment, wrist
109AB0D0-10C0-44A3-BB38-F4ABFF3B940D	2	M05.222	Rheumatoid vasculitis with rheumatoid arthritis of left elbow
109AB0D0-10C0-44A3-BB38-F4ABFF3B940D	3	B57.2	Chagas disease (chronic) with heart involvement",401
"360","African American","Female","English","Kienböcks disease of adults
DDFFF499-F1A0-4B8F-B57E-57C1148117C9	2	O99.413	Diseases of the circulatory system complicating pregnancy, third trimester
DDFFF499-F1A0-4B8F-B57E-57C1148117C9	3	M90.59	Osteonecrosis in diseases classified elsewhere, multiple sites
DDFFF499-F1A0-4B8F-B57E-57C1148117C9	4	C92.42	Acute promyelocytic leukemia, in relapse
DDFFF499-F1A0-4B8F-B57E-57C1148117C9	5	I12	Hypertensive chronic kidney disease
83DDD80B-9B99-43BD-8B5D-216AE67D5A9A	1	E08.32	Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy
83DDD80B-9B99-43BD-8B5D-216AE67D5A9A	2	D30.0	Benign neoplasm of kidney
83DDD80B-9B99-43BD-8B5D-216AE67D5A9A	3	C56.2	Malignant neoplasm of left ovary
38106AD1-120D-44AC-8BDE-E127F1D46FAF	1	O10.21	Pre-existing hypertensive chronic kidney disease complicating pregnancy
38106AD1-120D-44AC-8BDE-E127F1D46FAF	2	D31.32	Benign neoplasm of left choroid
3971B340-79E2-45E5-B5E4-B490DD28F5AE	1	M31.30	Wegeners granulomatosis without renal involvement",243
"361","African American","Female","English","Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere",83
"362","African American","Female","English","Krabbe disease",142
"363","African American","Female","English","Laceration of adrenal gland",566
"364","African American","Female","English","Laceration of renal blood vessel",452
"365","African American","Female","English","Laceration of right renal artery",356
"366","African American","Female","English","Leakage of coronary artery bypass graft",212
"367","African American","Female","English","Leakage of vascular dialysis catheter",143
"368","African American","Female","English","Leighs disease
E16CEC0D-6681-41F8-A0CA-4F7918D56ED3	1	D57.02	Hb-SS disease with splenic sequestration
E16CEC0D-6681-41F8-A0CA-4F7918D56ED3	2	K50.011	Crohns disease of small intestine with rectal bleeding",483
"369","African American","Female","English","Liver and biliary tract disorders in pregnancy, childbirth and the puerperium",502
"370","African American","Female","English","Liver and biliary tract disorders in pregnancy, third trimester",956
"371","African American","Female","English","Liver and biliary tract disorders in the puerperium",451
"372","African American","Female","English","Lyme disease",193
"373","African American","Female","English","Ménières disease, right ear
2B4B9770-BD9B-42E6-89AF-742304879DC3	1	O99.63	Diseases of the digestive system complicating the puerperium
2B4B9770-BD9B-42E6-89AF-742304879DC3	2	C94.3	Mast cell leukemia
2B4B9770-BD9B-42E6-89AF-742304879DC3	3	B97.34	Human T-cell lymphotrophic virus, type II [HTLV-II] as the cause of diseases classified elsewhere
2B4B9770-BD9B-42E6-89AF-742304879DC3	4	E10.44	Type 1 diabetes mellitus with diabetic amyotrophy
DDA3C161-6985-4A01-889E-E90BE78A7685	1	M11.051	Hydroxyapatite deposition disease, right hip
DDA3C161-6985-4A01-889E-E90BE78A7685	2	I06	Rheumatic aortic valve diseases
DDA3C161-6985-4A01-889E-E90BE78A7685	3	A22.1	Pulmonary anthrax
DDA3C161-6985-4A01-889E-E90BE78A7685	4	Q87.41	Marfans syndrome with cardiovascular manifestations",145
"374","African American","Female","English","Major depressive disorder, recurrent, in remission",259
"375","African American","Female","English","Major depressive disorder, single episode",157
"376","African American","Female","English","Major depressive disorder, single episode, mild",193
"377","African American","Female","English","Major depressive disorder, single episode, moderate",125
"378","African American","Female","English","Major depressive disorder, single episode, severe without psychotic features",391
"379","African American","Female","English","Major laceration of left pulmonary blood vessels",239
"380","African American","Female","English","Major laceration of pulmonary blood vessels",82
"381","African American","Female","English","Major laceration of right pulmonary blood vessels",75
"382","African American","Female","English","Malformation of coronary vessels",344
"383","African American","Female","English","Malignant neoplasm complicating pregnancy, first trimester",74
"384","African American","Female","English","Malignant neoplasm complicating the puerperium",494
"385","African American","Female","English","Malignant neoplasm of anterior mediastinum",444
"386","African American","Female","English","Malignant neoplasm of anus and anal canal",379
"387","African American","Female","English","Malignant neoplasm of base of tongue",82
"388","African American","Female","English","Malignant neoplasm of bladder",487
"389","African American","Female","English","Malignant neoplasm of body of pancreas",197
"390","African American","Female","English","Malignant neoplasm of broad ligament",277
"391","African American","Female","English","Malignant neoplasm of cauda equina",183
"392","African American","Female","English","Malignant neoplasm of cerebellum",242
"393","African American","Female","English","Malignant neoplasm of cerebral ventricle",873
"394","African American","Female","English","Malignant neoplasm of conjunctiva",528
"395","African American","Female","English","Malignant neoplasm of connective and soft tissue of right upper limb, including shoulder",117
"396","African American","Female","English","Malignant neoplasm of cornea",274
"397","African American","Female","English","Malignant neoplasm of cortex of left adrenal gland",785
"398","African American","Female","English","Malignant neoplasm of descended left testis",114
"399","African American","Female","English","Malignant neoplasm of descended right testis",258
"400","African American","Female","English","Malignant neoplasm of endocrine pancreas",492
"401","African American","Female","English","Malignant neoplasm of epididymis",458
"402","African American","Female","English","Malignant neoplasm of exocervix",255
"403","African American","Female","English","Malignant neoplasm of fallopian tube",928
"404","African American","Female","English","Malignant neoplasm of hard palate",363
"405","African American","Female","English","Malignant neoplasm of head of pancreas",68
"406","African American","Female","English","Malignant neoplasm of hepatic flexure",213
"407","African American","Female","English","Malignant neoplasm of laryngeal cartilage",176
"408","African American","Female","English","Malignant neoplasm of larynx",215
"409","African American","Female","English","Malignant neoplasm of lateral wall of oropharynx",403
"410","African American","Female","English","Malignant neoplasm of left epididymis",531
"411","African American","Female","English","Malignant neoplasm of left kidney, except renal pelvis",166
"412","African American","Female","English","Malignant neoplasm of left lacrimal gland and duct",176
"413","African American","Female","English","Malignant neoplasm of left main bronchus",301
"414","African American","Female","English","Malignant neoplasm of left olfactory nerve",670
"415","African American","Female","English","Malignant neoplasm of left ovary",725
"416","African American","Female","English","Malignant neoplasm of left spermatic cord",174
"417","African American","Female","English","Malignant neoplasm of left ureter",333
"418","African American","Female","English","Malignant neoplasm of lower lobe, bronchus or lung",237
"419","African American","Female","English","Malignant neoplasm of lower lobe, right bronchus or lung",460
"420","African American","Female","English","Malignant neoplasm of maxillary sinus",346
"421","African American","Female","English","Malignant neoplasm of medulla of left adrenal gland",234
"422","African American","Female","English","Malignant neoplasm of middle ear",163
"423","African American","Female","English","Malignant neoplasm of middle lobe, bronchus or lung",186
"424","African American","Female","English","Malignant neoplasm of myometrium",523
"425","African American","Female","English","Malignant neoplasm of nipple and areola",512
"426","African American","Female","English","Malignant neoplasm of optic nerve",374
"427","African American","Female","English","Malignant neoplasm of orbit",1098
"428","African American","Female","English","Malignant neoplasm of ovary",431
"429","African American","Female","English","Malignant neoplasm of overlapping sites of bronchus and lung",472
"430","African American","Female","English","Malignant neoplasm of overlapping sites of connective and soft tissue",352
"431","African American","Female","English","Malignant neoplasm of overlapping sites of corpus uteri",114
"432","African American","Female","English","Malignant neoplasm of overlapping sites of eye and adnexa",487
"433","African American","Female","English","Malignant neoplasm of overlapping sites of heart, mediastinum and pleura",487
"434","African American","Female","English","Malignant neoplasm of overlapping sites of larynx",516
"435","African American","Female","English","Malignant neoplasm of overlapping sites of left bronchus and lung",158
"436","African American","Female","English","Malignant neoplasm of overlapping sites of nasopharynx",299
"437","African American","Female","English","Malignant neoplasm of overlapping sites of palate",176
"438","African American","Female","English","Malignant neoplasm of overlapping sites of rectum, anus and anal canal",154
"439","African American","Female","English","Malignant neoplasm of overlapping sites of right bronchus and lung",151
"440","African American","Female","English","Malignant neoplasm of overlapping sites of tonsil",473
"441","African American","Female","English","Malignant neoplasm of paraurethral glands",293
"442","African American","Female","English","Malignant neoplasm of peripheral nerves and autonomic nervous system",501
"443","African American","Female","English","Malignant neoplasm of peripheral nerves of left lower limb, including hip",273
"444","African American","Female","English","Malignant neoplasm of pineal gland",89
"445","African American","Female","English","Malignant neoplasm of posterior mediastinum",216
"446","African American","Female","English","Malignant neoplasm of posterior wall of bladder",531
"447","African American","Female","English","Malignant neoplasm of posterior wall of oropharynx",185
"448","African American","Female","English","Malignant neoplasm of prepuce",254
"449","African American","Female","English","Malignant neoplasm of renal pelvis",360
"450","African American","Female","English","Malignant neoplasm of retina",339
"451","African American","Female","English","Malignant neoplasm of retroperitoneum",510
"452","African American","Female","English","Malignant neoplasm of ribs, sternum and clavicle",124
"453","African American","Female","English","Malignant neoplasm of right ciliary body",190
"454","African American","Female","English","Malignant neoplasm of right conjunctiva",90
"455","African American","Female","English","Malignant neoplasm of right olfactory nerve",937
"456","African American","Female","English","Malignant neoplasm of right optic nerve",635
"457","African American","Female","English","Malignant neoplasm of right orbit",417
"458","African American","Female","English","Malignant neoplasm of right ureter",332
"459","African American","Female","English","Malignant neoplasm of scapula and long bones of upper limb",210
"460","African American","Female","English","Malignant neoplasm of short bones of right lower limb",310
"461","African American","Female","English","Malignant neoplasm of short bones of upper limb",408
"462","African American","Female","English","Malignant neoplasm of small intestine",278
"463","African American","Female","English","Malignant neoplasm of spinal cord",408
"464","African American","Female","English","Malignant neoplasm of subglottis",349
"465","African American","Female","English","Malignant neoplasm of sublingual gland",522
"466","African American","Female","English","Malignant neoplasm of superior wall of nasopharynx",466
"467","African American","Female","English","Malignant neoplasm of testis",480
"468","African American","Female","English","Malignant neoplasm of thorax",252
"469","African American","Female","English","Malignant neoplasm of thyroid gland",297
"470","African American","Female","English","Malignant neoplasm of tonsillar fossa",96
"471","African American","Female","English","Malignant neoplasm of tonsillar pillar (anterior) (posterior)",74
"472","African American","Female","English","Malignant neoplasm of trigone of bladder",368
"473","African American","Female","English","Malignant neoplasm of undescended right testis",201
"474","African American","Female","English","Malignant neoplasm of upper gum",111
"475","African American","Female","English","Malignant neoplasm of upper lobe, right bronchus or lung",489
"476","African American","Female","English","Malignant neoplasm of upper third of esophagus",213
"477","African American","Female","English","Malignant neoplasm of urachus",450
"478","African American","Female","English","Malignant neoplasm of ureter",76
"479","African American","Female","English","Malignant neoplasm of ureteric orifice",623
"480","African American","Female","English","Malignant neoplasm of uvula",498
"481","African American","Female","English","Malignant neoplasm of vulva",175
"482","African American","Female","English","Marburg virus disease",220
"483","African American","Female","English","Mast cell leukemia not having achieved remission",309
"484","African American","Female","English","Mast cell leukemia, in remission",503
"485","African American","Female","English","Mastoiditis in infectious and parasitic diseases classified elsewhere, right ear",211
"486","African American","Female","English","Maternal malignant neoplasms, traumatic injuries and abuse classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",492
"487","African American","Female","English","Mature B-cell leukemia Burkitt-type, in relapse",139
"488","African American","Female","English","McArdle disease",275
"489","African American","Female","English","Mechanical complication of coronary artery bypass graft and biological heart valve graft",158
